scope,name,metric,value
run,all,answer_point_recall,0.2866666666666666
run,all,behavior_evaluated_cases,50
run,all,behavior_unavailable_cases,0
run,all,citation_precision,0.7333333333333332
run,all,citation_recall,0.84
run,all,cost_per_case_usd,0.0
run,all,cost_per_successful_answer_usd,0.0
run,all,cost_score,1.0
run,all,error_rate,0.0
run,all,failed_cases,48
run,all,format_score,1.0
run,all,latency_score,1.0
run,all,median_latency_ms,0.0
run,all,overall_score,0.6386666666666665
run,all,p95_latency_ms,2
run,all,passed_cases,2
run,all,refusal_accuracy,0.86
run,all,severe_hallucination_count,7
run,all,total_cases,50
run,all,total_estimated_cost_usd,0.0
run,all,total_input_tokens,0
run,all,total_output_tokens,0
run,all,total_tokens,0
run,all,unsupported_claim_count,7
category,adversarial,answer_point_recall,0.4
category,adversarial,behavior_evaluated_cases,5
category,adversarial,behavior_unavailable_cases,0
category,adversarial,citation_precision,0.7333333333333333
category,adversarial,citation_recall,1.0
category,adversarial,cost_per_case_usd,0.0
category,adversarial,cost_per_successful_answer_usd,0.0
category,adversarial,cost_score,1.0
category,adversarial,error_rate,0.0
category,adversarial,failed_cases,5
category,adversarial,format_score,1.0
category,adversarial,latency_score,1.0
category,adversarial,median_latency_ms,0
category,adversarial,overall_score,0.6633333333333333
category,adversarial,p95_latency_ms,0
category,adversarial,passed_cases,0
category,adversarial,refusal_accuracy,0.6
category,adversarial,severe_hallucination_count,2
category,adversarial,total_cases,5
category,adversarial,total_estimated_cost_usd,0.0
category,adversarial,total_input_tokens,0
category,adversarial,total_output_tokens,0
category,adversarial,total_tokens,0
category,adversarial,unsupported_claim_count,2
category,cited_summary,answer_point_recall,0.18333333333333332
category,cited_summary,behavior_evaluated_cases,10
category,cited_summary,behavior_unavailable_cases,0
category,cited_summary,citation_precision,0.5333333333333332
category,cited_summary,citation_recall,0.8
category,cited_summary,cost_per_case_usd,0.0
category,cited_summary,cost_per_successful_answer_usd,0.0
category,cited_summary,cost_score,1.0
category,cited_summary,error_rate,0.0
category,cited_summary,failed_cases,10
category,cited_summary,format_score,1.0
category,cited_summary,latency_score,1.0
category,cited_summary,median_latency_ms,0.0
category,cited_summary,overall_score,0.5675000000000001
category,cited_summary,p95_latency_ms,1
category,cited_summary,passed_cases,0
category,cited_summary,refusal_accuracy,1.0
category,cited_summary,severe_hallucination_count,0
category,cited_summary,total_cases,10
category,cited_summary,total_estimated_cost_usd,0.0
category,cited_summary,total_input_tokens,0
category,cited_summary,total_output_tokens,0
category,cited_summary,total_tokens,0
category,cited_summary,unsupported_claim_count,0
category,company_comparison,answer_point_recall,0.1
category,company_comparison,behavior_evaluated_cases,5
category,company_comparison,behavior_unavailable_cases,0
category,company_comparison,citation_precision,0.8666666666666666
category,company_comparison,citation_recall,0.5
category,company_comparison,cost_per_case_usd,0.0
category,company_comparison,cost_per_successful_answer_usd,0.0
category,company_comparison,cost_score,1.0
category,company_comparison,error_rate,0.0
category,company_comparison,failed_cases,5
category,company_comparison,format_score,1.0
category,company_comparison,latency_score,1.0
category,company_comparison,median_latency_ms,1
category,company_comparison,overall_score,0.5766666666666665
category,company_comparison,p95_latency_ms,1
category,company_comparison,passed_cases,0
category,company_comparison,refusal_accuracy,1.0
category,company_comparison,severe_hallucination_count,0
category,company_comparison,total_cases,5
category,company_comparison,total_estimated_cost_usd,0.0
category,company_comparison,total_input_tokens,0
category,company_comparison,total_output_tokens,0
category,company_comparison,total_tokens,0
category,company_comparison,unsupported_claim_count,0
category,factual_extraction,answer_point_recall,0.3
category,factual_extraction,behavior_evaluated_cases,15
category,factual_extraction,behavior_unavailable_cases,0
category,factual_extraction,citation_precision,0.7333333333333333
